Annie Get Your Gun (1950, Blockbusters), Comedy
The Poseidon Adventure (1972, Blockbusters), Action
What's Up, Doc_ (1972, Blockbusters), Comedy
Last Tango in Paris (1973, Blockbusters), Drama
Live and Let Die (1973, Blockbusters), Action
Magnum Force (1973, Blockbusters), Action
Paper Moon (1973, Blockbusters), Comedy
Papillon (1973, Blockbusters), Action
Serpico (1973, Blockbusters), Action
The Way We Were (1973, Blockbusters), Drama
Airport 1975 (1974, Blockbusters), Action
Blazing Saddles (1974, Blockbusters), Comedy
Death Wish (1974, Blockbusters), Action
Earthquake (1974, Blockbusters), Action
The Longest Yard (1974, Blockbusters), Comedy
The Trial of Billy Jack (1974, Blockbusters), Action
Young Frankenstein (1974, Blockbusters), Comedy
Funny Lady (1975, Blockbusters), Comedy
Shampoo (1975, Blockbusters), Comedy
The Other Side of the Mountain (1975, Blockbusters), Drama
The Return of the Pink Panther (1975, Blockbusters), Comedy
The Rocky Horror Picture Show (1975, Blockbusters), Thriller
Three Days of the Condor (1975, Blockbusters), Thriller
Tommy (1975, Blockbusters), Drama
A Star Is Born  (1976, Blockbusters), Action
King Kong (1976, Blockbusters), Action
Midway (1976, Blockbusters), Action
Silent Movie (1976, Blockbusters), Comedy
Silver Streak (1976, Blockbusters), Action
The Bad News Bears (1976, Blockbusters), Comedy
The Enforcer (1976, Blockbusters), Action
The Omen (1976, Blockbusters), Thriller
A Bridge Too Far (1977, Blockbusters), Action
Close Encounters of the Third Kind (1977, Blockbusters), Drama
Oh, God! (1977, Blockbusters), Comedy
Saturday Night Fever (1977, Blockbusters), Drama
Smokey and the Bandit (1977, Blockbusters), Comedy
The Deep (1977, Blockbusters), Action
The Spy Who Loved Me (1977, Blockbusters), Action
Every Which Way but Loose (1978, Blockbusters), Comedy
Grease (1978, Blockbusters), Comedy
Halloween (1978, Blockbusters), Thriller
Hooper (1978, Blockbusters), Comedy
Jaws 2 (1978, Blockbusters), Thriller
National Lampoon's Animal House (1978, Blockbusters), Comedy
Revenge of the Pink Panther (1978, Blockbusters), Comedy
Superman (1978, Blockbusters), Action
Alien (1979, Blockbusters), Thriller
Moonraker (1979, Blockbusters), Action
Rocky II (1979, Blockbusters), Action
Star Trek The Motion Picture (1979, Blockbusters), Action
Tess (1979, Blockbusters), Drama
The Amityville Horror (1979, Blockbusters), Thriller
The Electric Horseman (1979, Blockbusters), Drama
The Jerk (1979, Blockbusters), Comedy
The Muppet Movie (1979, Blockbusters), Comedy
9 to 5 (1980, Blockbusters), Comedy
Airplane! (1980, Blockbusters), Comedy
Any Which Way You Can (1980, Blockbusters), Action
Private Benjamin (1980, Blockbusters), Comedy
Smokey and the Bandit II (1980, Blockbusters), Comedy
Stir Crazy (1980, Blockbusters), Comedy
The Blue Lagoon (1980, Blockbusters), Drama
The Blues Brothers (1980, Blockbusters), Comedy
The Empire Strikes Back (1980, Blockbusters), Action
Arthur (1981, Blockbusters), Comedy
For Your Eyes Only (1981, Blockbusters), Action
Porky's (1981, Blockbusters), Comedy
Stripes (1981, Blockbusters), Comedy
Superman II (1981, Blockbusters), Action
The Cannonball Run (1981, Blockbusters), Comedy
The Four Seasons (1981, Blockbusters), Comedy
Time Bandits (1981, Blockbusters), Action
48 Hrs (1982, Blockbusters), Comedy
An Officer and a Gentleman (1982, Blockbusters), Drama
Annie (1982, Blockbusters), Comedy
Poltergeist (1982, Blockbusters), Thriller
Rocky III (1982, Blockbusters), Drama
Star Trek II (1982, Blockbusters), Action
The Best Little Whorehouse in Texas (1982, Blockbusters), Comedy
Flashdance (1983, Blockbusters), Drama
Mr. Mom (1983, Blockbusters), Comedy
Octopussy (1983, Blockbusters), Action
Return of the Jedi (1983, Blockbusters), Action
Risky Business (1983, Blockbusters), Comedy
Staying Alive (1983, Blockbusters), Drama
Sudden Impact (1983, Blockbusters), Action
Trading Places (1983, Blockbusters), Comedy
WarGames (1983, Blockbusters), Action
Beverly Hills Cop (1984, Blockbusters), Action
Footloose (1984, Blockbusters), Drama
Ghostbusters (1984, Blockbusters), Action
Gremlins (1984, Blockbusters), Comedy
Indiana Jones and the Temple of Doom (1984, Blockbusters), Action
Police Academy (1984, Blockbusters), Comedy
Romancing the Stone (1984, Blockbusters), Action
Splash (1984, Blockbusters), Comedy
Star Trek III (1984, Blockbusters), Action
The Karate Kid (1984, Blockbusters), Action
A Room with a View (1985, Blockbusters), Drama
Back to the Future (1985, Blockbusters), Action
Cocoon (1985, Blockbusters), Comedy
Rambo First Blood Part II (1985, Blockbusters), Action
Rocky IV (1985, Blockbusters), Drama
Spies Like Us (1985, Blockbusters), Action
The Goonies (1985, Blockbusters), Action
The Jewel of the Nile (1985, Blockbusters), Action
Aliens (1986, Blockbusters), Action
Back to School (1986, Blockbusters), Comedy
Crocodile Dundee (1986, Blockbusters), Action
Ferris Buellers Day Off (1986, Blockbusters), Comedy
Ruthless People (1986, Blockbusters), Comedy
Star Trek IV (1986, Blockbusters), Action
The Golden Child (1986, Blockbusters), Action
The Karate Kid Part II (1986, Blockbusters), Action
Top Gun (1986, Blockbusters), Action
Beverly Hills Cop II (1987, Blockbusters), Action
Good Morning, Vietnam (1987, Blockbusters), Comedy
Lethal Weapon (1987, Blockbusters), Action
Stakeout (1987, Blockbusters), Action
The Secret of My Success (1987, Blockbusters), Comedy
The Untouchables (1987, Blockbusters), Thriller
The Witches of Eastwick (1987, Blockbusters), Comedy
Three Men and a Baby (1987, Blockbusters), Comedy
A Fish Called Wanda (1988, Blockbusters), Comedy
Big (1988, Blockbusters), Comedy
Cocktail (1988, Blockbusters), Comedy
Coming To America (1988, Blockbusters), Comedy
Crocodile Dundee II (1988, Blockbusters), Action
Die Hard (1988, Blockbusters), Action
Rambo III (1988, Blockbusters), Action
Twins (1988, Blockbusters), Comedy
Who Framed Roger Rabbit (1988, Blockbusters), Action
Back to the Future Part II (1989, Blockbusters), Action
Batman (1989, Blockbusters), Action
Ghostbusters II (1989, Blockbusters), Action
Honey, I Shrunk the Kids (1989, Blockbusters), Action
Indiana Jones and the Last Crusade (1989, Blockbusters), Action
Lethal Weapon 2 (1989, Blockbusters), Action
Look Who's Talking (1989, Blockbusters), Comedy
The Little Mermaid (1989, Blockbusters), Action
Back to the Future Part III (1990, Blockbusters), Action
Die Hard 2 (1990, Blockbusters), Action
Home Alone (1990, Blockbusters), Comedy
Kindergarten Cop (1990, Blockbusters), Action
Presumed Innocent (1990, Blockbusters), Thriller
Pretty Woman (1990, Blockbusters), Comedy
Teenage Mutant Ninja Turtles (1990, Blockbusters), Action
Total Recall (1990, Blockbusters), Action
Cape Fear (1991, Blockbusters), Thriller
Hook (1991, Blockbusters), Action
Hot Shots! (1991, Blockbusters), Action
Robin Hood Prince of Thieves (1991, Blockbusters), Action
Terminator 2 (1991, Blockbusters), Action
The Addams Family (1991, Blockbusters), Comedy
The Naked Gun The Smell of Fear (1991, Blockbusters), Comedy
Aladdin (1992, Blockbusters), Action
Basic Instinct (1992, Blockbusters), Drama
Batman Returns (1992, Blockbusters), Action
Bram Stoker's Dracula (1992, Blockbusters), Thriller
Hone Alone 2 (1992, Blockbusters), Action
Lethal Weapon 3 (1992, Blockbusters), Action
Sister Act (1992, Blockbusters), Comedy
The Bodyguard (1992, Blockbusters), Action
Wayne's World (1992, Blockbusters), Comedy
Cliffhanger (1993, Blockbusters), Action
Indecent Proposal (1993, Blockbusters), Drama
Jurassic Park (1993, Blockbusters), Action
Mrs. Doubtfire (1993, Blockbusters), Comedy
Philadelphia (1993, Blockbusters), Drama
Sleepless in Seattle (1993, Blockbusters), Comedy
The Firm (1993, Blockbusters), Drama
Clear and Present Danger (1994, Blockbusters), Action
Dumb and Dumber (1994, Blockbusters), Comedy
Interview with the Vampire (1994, Blockbusters), Drama
Speed (1994, Blockbusters), Action
The Flintstones (1994, Blockbusters), Comedy
The Lion King (1994, Blockbusters), Action
The Mask (1994, Blockbusters), Action
The Postman (1994, Blockbusters), Comedy
True Lies (1994, Blockbusters), Action
Batman Forever (1995, Blockbusters), Action
Casper (1995, Blockbusters), Comedy
Die Hard with a Vengeance (1995, Blockbusters), Action
GoldenEye (1995, Blockbusters), Action
Jumanji (1995, Blockbusters), Action
Pocahontas (1995, Blockbusters), Action
Seven (1995, Blockbusters), Thriller
Toy Story (1995, Blockbusters), Action
Waterworld (1995, Blockbusters), Action
101 Dalmatians (1996, Blockbusters), Action
Independence Day (1996, Blockbusters), Action
Mission Impossible (1996, Blockbusters), Action
Ransom (1996, Blockbusters), Action
Space Jam (1996, Blockbusters), Action
The Hunchback of Notre Dame (1996, Blockbusters), Drama
The Nutty Professor (1996, Blockbusters), Comedy
The Rock (1996, Blockbusters), Action
Twister (1996, Blockbusters), Action
Air Force One (1997, Blockbusters), Action
Liar Liar (1997, Blockbusters), Comedy
Life Is Beautiful (1997, Blockbusters), Comedy
Men in Black (1997, Blockbusters), Action
My Best Friend's Wedding (1997, Blockbusters), Comedy
The Fifth Element (1997, Blockbusters), Action
The Lost World Jurassic Park (1997, Blockbusters), Action
Tomorrow Never Dies (1997, Blockbusters), Action
A Bug's Life (1998, Blockbusters), Action
Armageddon (1998, Blockbusters), Action
Deep Impact (1998, Blockbusters), Action
Dr. Dolittle (1998, Blockbusters), Comedy
Godzilla (1998, Blockbusters), Action
Lethal Weapon 4 (1998, Blockbusters), Action
Mulan (1998, Blockbusters), Action
There's Something About Mary (1998, Blockbusters), Comedy
Austin Powers The Spy Who Shagged Me (1999, Blockbusters), Action
Notting Hill (1999, Blockbusters), Comedy
Star Wars Episode I - The Phantom Menace (1999, Blockbusters), Action
Tarzan (1999, Blockbusters), Action
The Matrix (1999, Blockbusters), Action
The Mummy (1999, Blockbusters), Action
The World Is Not Enough (1999, Blockbusters), Action
Toy Story 2 (1999, Blockbusters), Action
Cast Away (2000, Blockbusters), Action
Dinosaur (2000, Blockbusters), Action
How the Grinch Stole Christmas (2000, Blockbusters), Comedy
Meet the Parents (2000, Blockbusters), Comedy
Mission Impossible II (2000, Blockbusters), Action
The Perfect Storm (2000, Blockbusters), Action
What Lies Beneath (2000, Blockbusters), Drama
What Women Want (2000, Blockbusters), Comedy
X-Men (2000, Blockbusters), Action
Hannibal (2001, Blockbusters), Action
Harry Potter and the Sorcerer's Stone (2001, Blockbusters), Action
Jurassic Park III (2001, Blockbusters), Action
Monsters, Inc. (2001, Blockbusters), Action
Ocean's Eleven  (2001, Blockbusters), Action
Pearl Harbor (2001, Blockbusters), Action
Planet of the Apes  (2001, Blockbusters), Action
Shrek (2001, Blockbusters), Action
The Mummy Returns (2001, Blockbusters), Action
Die Another Day (2002, Blockbusters), Action
Harry Potter and the Chamber of Secrets (2002, Blockbusters), Action
Ice Age (2002, Blockbusters), Action
Men in Black II (2002, Blockbusters), Action
Minority Report (2002, Blockbusters), Action
My Big Fat Greek Wedding (2002, Blockbusters), Comedy
Signs (2002, Blockbusters), Drama
Spider-Man (2002, Blockbusters), Action
Star Wars Episode II - Attack of the Clones (2002, Blockbusters), Action
Bad Boys II (2003, Blockbusters), Action
Bruce Almighty (2003, Blockbusters), Comedy
Finding Nemo (2003, Blockbusters), Action
Pirates of the Caribbean The Curse of the Black Pearl (2003, Blockbusters), Action
Terminator 3 Rise of the Machines (2003, Blockbusters), Action
The Last Samurai (2003, Blockbusters), Action
The Matrix Reloaded (2003, Blockbusters), Action
The Matrix Revolutions (2003, Blockbusters), Action
X-Men 2 (2003, Blockbusters), Action
Harry Potter and the Prisoner of Azkaban (2004, Blockbusters), Action
Meet the Fockers (2004, Blockbusters), Comedy
Ocean's Twelve (2004, Blockbusters), Action
Shark Tale (2004, Blockbusters), Action
Shrek 2 (2004, Blockbusters), Action
Spider-Man 2 (2004, Blockbusters), Action
The Day After Tomorrow (2004, Blockbusters), Action
The Incredibles (2004, Blockbusters), Action
The Passion of the Christ (2004, Blockbusters), Drama
Troy (2004, Blockbusters), Action
Batman Begins (2005, Blockbusters), Action
Charlie and the Chocolate Factory (2005, Blockbusters), Action
Harry Potter and the Goblet of Fire (2005, Blockbusters), Action
Hitch (2005, Blockbusters), Comedy
King Kong  (2005, Blockbusters), Action
Madagascar (2005, Blockbusters), Action
Mr. & Mrs. Smith (2005, Blockbusters), Action
Star Wars Episode III - Revenge of the Sith (2005, Blockbusters), Action
The Chronicles of Narnia The Lion, the Witch and the Wardrobe (2005, Blockbusters), Action
War of the Worlds (2005, Blockbusters), Action
Cars (2006, Blockbusters), Action
Casino Royale (2006, Blockbusters), Action
Happy Feet (2006, Blockbusters), Action
Ice Age The Meltdown (2006, Blockbusters), Action
Mission Impossible III (2006, Blockbusters), Action
Night at the Museum (2006, Blockbusters), Action
Pirates of the Caribbean Dead Man's Chest (2006, Blockbusters), Action
Superman Returns (2006, Blockbusters), Action
The Da Vinci Code (2006, Blockbusters), Thriller
X-Men The Last Stand (2006, Blockbusters), Action
300 (2007, Blockbusters), Action
Harry Potter and the Order of the Phoenix (2007, Blockbusters), Action
I Am Legend (2007, Blockbusters), Action
National Treasure Book of Secrets (2007, Blockbusters), Action
Pirates of the Caribbean At World's End (2007, Blockbusters), Action
Ratatouille (2007, Blockbusters), Action
Shrek the Third (2007, Blockbusters), Action
Spider-Man 3 (2007, Blockbusters), Action
The Simpsons Movie (2007, Blockbusters), Action
Transformers (2007, Blockbusters), Action
Hancock (2008, Blockbusters), Action
Indiana Jones and the Kingdom of the Crystal Skull (2008, Blockbusters), Action
Iron Man (2008, Blockbusters), Action
Kung Fu Panda (2008, Blockbusters), Action
Madagascar Escape 2 Africa (2008, Blockbusters), Action
Mamma Mia! (2008, Blockbusters), Comedy
Quantum of Solace (2008, Blockbusters), Action
The Chronicles of Narnia Prince Caspian (2008, Blockbusters), Action
The Dark Knight (2008, Blockbusters), Action
WALL·E (2008, Blockbusters), Action
2012 (2009, Blockbusters), Action
A Serious Man (2009, Blockbusters), Comedy
Angels & Demons (2009, Blockbusters), Action
Harry Potter and the Half-Blood Prince (2009, Blockbusters), Action
Ice Age Dawn of the Dinosaurs (2009, Blockbusters), Action
Sherlock Holmes (2009, Blockbusters), Action
The Hangover (2009, Blockbusters), Comedy
The Twilight Saga New Moon (2009, Blockbusters), Action
Transformers Revenge of the Fallen (2009, Blockbusters), Action
Alice in Wonderland (2010, Blockbusters), Action
Despicable Me (2010, Blockbusters), Action
Harry Potter and the Deathly Hallows Part 1 (2010, Blockbusters), Action
How to Train Your Dragon (2010, Blockbusters), Action
Iron Man 2 (2010, Blockbusters), Action
Shrek Forever After (2010, Blockbusters), Action
Tangled (2010, Blockbusters), Action
The Twilight Saga Eclipse (2010, Blockbusters), Action
Cars 2 (2011, Blockbusters), Action
Fast Five (2011, Blockbusters), Action
Harry Potter and the Deathly Hallows Part 2 (2011, Blockbusters), Action
Kung Fu Panda 2 (2011, Blockbusters), Action
Mission Impossible - Ghost Protocol (2011, Blockbusters), Action
Pirates of the Caribbean On Stranger Tides (2011, Blockbusters), Action
The Hangover Part II (2011, Blockbusters), Comedy
The Smurfs (2011, Blockbusters), Action
The Twilight Saga Breaking Dawn - Part 1 (2011, Blockbusters), Action
Transformers Dark of the Moon (2011, Blockbusters), Action
Ice Age Continental Drift (2012, Blockbusters), Action
Madagascar 3 Europe's Most Wanted (2012, Blockbusters), Action
Men in Black3 (2012, Blockbusters), Action
Skyfall (2012, Blockbusters), Action
The Amazing Spider-Man (2012, Blockbusters), Action
The Avengers (2012, Blockbusters), Action
The Dark Knight Rises (2012, Blockbusters), Action
The Hobbit An Unexpected Journey (2012, Blockbusters), Action
The Hunger Games (2012, Blockbusters), Action
The Twilight Saga Breaking Dawn - Part 2 (2012, Blockbusters), Action
Despicable Me 2 (2013, Blockbusters), Action
Fast & Furious 6 (2013, Blockbusters), Action
Frozen (2013, Blockbusters), Action
Iron Man 3 (2013, Blockbusters), Action
Man of Steel (2013, Blockbusters), Action
Monsters University (2013, Blockbusters), Action
The Hobbit The Desolation of Smaug (2013, Blockbusters), Action
The Hunger Games Catching Fire (2013, Blockbusters), Action
Thor The Dark World (2013, Blockbusters), Action
Captain America The Winter Soldier (2014, Blockbusters), Action
Dawn of the Planet of the Apes (2014, Blockbusters), Action
Guardians of the Galaxy (2014, Blockbusters), Action
Interstellar (2014, Blockbusters), Action
Maleficent (2014, Blockbusters), Action
The Amazing Spider-Man 2 (2014, Blockbusters), Action
The Hobbit The Battle of the Five Armies (2014, Blockbusters), Action
The Hunger Games Mockingjay - Part 1 (2014, Blockbusters), Action
Transformers Age of Extinction (2014, Blockbusters), Action
X-Men Days of Future Past (2014, Blockbusters), Action
Avengers Age of Ultron (2015, Blockbusters), Action
Furious 7 (2015, Blockbusters), Action
Inside Out (2015, Blockbusters), Action
Jurassic World (2015, Blockbusters), Action
Minions (2015, Blockbusters), Action
Mission Impossible - Rogue Nation (2015, Blockbusters), Action
Spectre (2015, Blockbusters), Action
Star Wars Episode VII - The Force Awakens (2015, Blockbusters), Action
The Hunger Games Mockingjay - Part 2 (2015, Blockbusters), Action
Batman v Superman Dawn of Justice (2016, Blockbusters), Action
Captain America Civil War (2016, Blockbusters), Action
Deadpool (2016, Blockbusters), Action
Fantastic Beasts and Where to Find Them (2016, Blockbusters), Action
Finding Dory (2016, Blockbusters), Action
Rogue One A Star Wars Story (2016, Blockbusters), Action
Suicide Squad (2016, Blockbusters), Action
The Jungle Book  (2016, Blockbusters), Action
The Secret Life of Pets (2016, Blockbusters), Action
Zootopia (2016, Blockbusters), Action
Beauty and the Beast  (2017, Blockbusters), Action
Despicable Me 3 (2017, Blockbusters), Action
Guardians of the Galaxy Vol. 2 (2017, Blockbusters), Action
Jumanji Welcome to the Jungle (2017, Blockbusters), Action
Spider-Man Homecoming (2017, Blockbusters), Action
Star Wars Episode VIII - The Last Jedi (2017, Blockbusters), Action
The Fate of the Furious (2017, Blockbusters), Action
Thor Ragnarok (2017, Blockbusters), Action
Wolf Warrior 2 (2017, Blockbusters), Action
Wonder Woman (2017, Blockbusters), Action
Aquaman (2018, Blockbusters), Action
Avengers Infinity War (2018, Blockbusters), Action
Deadpool 2 (2018, Blockbusters), Action
Fantastic Beasts The Crimes of Grindelwald (2018, Blockbusters), Action
Incredibles 2 (2018, Blockbusters), Action
Jurassic World Fallen Kingdom (2018, Blockbusters), Action
Mission Impossible - Fallout (2018, Blockbusters), Action
Venom (2018, Blockbusters), Action
Aladdin  (2019, Blockbusters), Action
Avengers Endgame (2019, Blockbusters), Action
Captain Marvel (2019, Blockbusters), Action
Frozen II (2019, Blockbusters), Action
Jumanji The Next Level (2019, Blockbusters), Action
Spider-Man Far from Home (2019, Blockbusters), Action
Star Wars Episode IX - The Rise of Skywalker (2019, Blockbusters), Action
The Lion King  (2019, Blockbusters), Action
Toy Story 4 (2019, Blockbusters), Action
Bad Boys for Life (2020, Blockbusters), Action
Demon Slayer Kimetsu no Yaiba - The Movie Mugen Train (2020, Blockbusters), Action
Dolittle (2020, Blockbusters), Action
Jiang Ziya (2020, Blockbusters), Action
My People, My Homeland (2020, Blockbusters), Drama
Sonic the Hedgehog (2020, Blockbusters), Action
Tenet (2020, Blockbusters), Action
The Croods A New Age (2020, Blockbusters), Action
The Eight Hundred (2020, Blockbusters), Action
Detective Chinatown 3 (2021, Blockbusters), Action
F9 The Fast Saga (2021, Blockbusters), Action
Godzilla vs. Kong (2021, Blockbusters), Action
Hi, Mom (2021, Blockbusters), Comedy
No Time to Die (2021, Blockbusters), Action
Shang-Chi and the Legend of the Ten Rings (2021, Blockbusters), Action
Sing 2 (2021, Blockbusters), Action
Spider-Man No Way Home (2021, Blockbusters), Action
The Battle at Lake Changjin (2021, Blockbusters), Action
Venom Let There Be Carnage (2021, Blockbusters), Action
Black Panther Wakanda Forever (2022, Blockbusters), Action
Doctor Strange in the Multiverse of Madness (2022, Blockbusters), Action
Jurassic World Dominion (2022, Blockbusters), Action
Minions The Rise of Gru (2022, Blockbusters), Action
Puss in Boots The Last Wish (2022, Blockbusters), Action
The Batman (2022, Blockbusters), Action
Thor Love and Thunder (2022, Blockbusters), Action
Water Gate Bridge (2022, Blockbusters), Action
Elemental (2023, Blockbusters), Action
Fast10 (2023, Blockbusters), Action
Guardians of the Galaxy Vol. 3 (2023, Blockbusters), Action
Mission Impossible - Dead Reckoning Part One (2023, Blockbusters), Action
Spider-Man Across the Spider-Verse (2023, Blockbusters), Action
The Little Mermaid  (2023, Blockbusters), Action
The Super Mario Bros. Movie (2023, Blockbusters), Action
Wonka (2023, Blockbusters), Action
Bob Marley One Love (2024, Blockbusters), Drama
Dune Part Two (2024, Blockbusters), Action
Ghostbusters Frozen Empire (2024, Blockbusters), Action
Godzilla x Kong The New Empire (2024, Blockbusters), Action
Kung Fu Panda 4 (2024, Blockbusters), Action
The Beekeeper (2024, Blockbusters), Action
The Fall Guy (2024, Blockbusters), Action
All About Eve (1950, Oscar), Drama
Born Yesterday (1950, Oscar), Comedy
Father of the Bride (1950, Oscar), Comedy
